Mean,STD,Kurtosis,Skewness,Class
3.199832776,19.11042633,7.975531794,74.24222492,0
1.677257525,14.86014572,10.57648674,127.39357959999998,0
3.121237458,21.74466875,7.735822015,63.17190911,0
3.642976589,20.959280300000003,6.89649891,53.59366067,0
1.178929766,11.4687196,14.26957284,252.5673058,0
1.636287625,14.54507425,10.6217484,131.3940043,0
0.99916388,9.279612239,19.20623018,479.7565669,0
1.2207357859999999,14.37894124,13.53945602,198.2364565,0
2.331939799,14.48685311,9.001004441000001,107.97250559999999,0
4.079431438,24.98041798,7.397079947999999,57.78473789,0
5.376254181,29.00989748,6.076265848999999,37.83139335,0
1.632107023,12.00780568,11.97206663,195.5434476,0
10.69648829,41.34204361,3.8939341389999997,14.13120625,0
2.836120401,23.11834971,8.943211912,82.47559187,0
6.330267559,31.57634673,5.155939859,26.14331017,0
2.7382943139999996,17.19189079,9.050612454,96.61190318,0
1.508361204,12.07290134,13.36792556,223.43841919999997,0
2.841137124,21.63577754,8.302241891,71.58436903,0
9.342809365,38.09639955,4.3454381380000004,18.67364854,0
27.55518395,61.71901588,2.20880796,3.662680136,1
3.8837792639999997,23.04526673,6.953167635,52.27944038,0
3.551839465,20.75501684,7.739552295,68.51977061,0
1.83277592,12.24896949,11.249331,177.2307712,0
6.018394648999999,24.76612335,4.807783224,25.52261561,0
2.43645485,18.40537062,9.378659682,96.86022536,0
8.281772575,37.81001224,4.691826852,21.27620977,0
2.64632107,15.65443599,9.464164025,115.6731586,0
2.365384615,16.49803188,9.008351897999999,94.75565692,0
2.107023411,16.92177312,10.08033334,112.55859129999999,0
1.489130435,16.00441146,12.64653474,171.83290209999998,0
1.010033445,13.02627521,14.66651082,231.2041363,0
0.619565217,9.440975862,20.1066391,475.68021799999997,0
2.173913043,12.9939472,9.965757364,141.51008430000002,0
4.423076923,27.08351266,6.681658306,45.94403008,0
2.151337793,20.55243738,9.920468181,99.74707919,0
1.898829431,13.83904002,11.61993869,172.13037319999998,0
2.692307692,17.08088101,8.849177975,92.20174502,0
3.899665552,23.72205203,7.5062099579999995,60.88691267,0
1.173913043,12.01691346,14.53428973,252.6947381,0
2.33277592,14.71602871,9.634175054,118.6696797,0
2.4431438130000003,18.3133067,8.672894053,83.06924213,0
3.6061872910000004,18.94498977,7.035644684,59.23122572,0
1.358695652,13.07903424,13.31214143,212.59702940000003,1
2.116220736,16.58087621,8.947602793,91.01176155,0
1.147993311,12.41401211,14.06879728,228.1315536,0
1.9933110369999998,13.84106954,9.969395407999999,128.74471680000002,0
1.610367893,17.25115554,12.11019331,152.0149562,0
1.200668896,12.38856143,13.30645184,209.41199,0
4.850334448,29.93619483,6.361837307999999,40.25501275,0
2.407190635,14.42205142,9.310343318,113.68747140000002,0
1.107859532,13.23858397,13.77580037,208.4202575,0
4.283444816,23.96731526,6.562543005,46.66728734,0
2.694816054,17.9985973,9.094177089,97.80243629,0
0.79264214,9.540907141,18.76653977,441.5133427,0
0.849498328,9.677531027,18.73655411,431.3904454,0
3.032608696,19.69431374,7.2662522570000005,58.03777067,0
2.304347826,16.18365586,9.780440566000001,114.9993838,0
1.0811036790000002,13.48209307,14.25608113,216.8362204,0
2.823578595,16.23818776,8.207743613,85.53258352,0
1.5551839459999999,12.81353792,13.31433912,214.81308900000002,0
4.0409699,23.16912864,7.006681423,53.51400467,0
73.11287625,62.07021971,1.268206006,1.082920221,1
20.77424749,52.77264803,2.7309086189999996,6.607439551000001,0
2.204013378,17.37868175,9.520551079,100.7875964,0
1.149665552,13.96514443,13.23049959,186.2685104,0
1.060200669,14.28934355,14.17637248,208.2780851,0
3.563545151,21.28808157,7.337117054,59.16844081,0
4.925585283999999,26.32242163,6.086053659,39.11620774,0
4.04180602,24.57913147,6.581293412000001,44.89951492,0
1.280936455,10.68864639,14.63669101,288.668932,0
2.37541806,13.9284014,9.127499454,116.0232222,0
2.932274247,17.929756899999997,8.289888515,81.34651657,0
2.8913043480000002,17.75294666,8.913745414,94.08210337,0
4.1939799330000005,22.25815766,6.4517554839999995,46.48663173,0
11.63963211,39.95655753,3.640288988,12.68457562,0
2.105351171,14.49837742,10.13157115,128.3951486,0
8.539297658999999,31.13487695,4.082788387,17.27267344,0
4.407190635,26.29776588,6.709564866,47.4057088,0
1.7090300999999999,15.1907807,11.52025038,150.3053634,0
4.783444816,27.50164045,6.090448645,37.81809112,0
3.748327759,18.851009899999998,6.414682286000001,50.85055687,0
1.408026756,12.08791939,12.5121354,201.1278905,0
4.1329431439999995,25.89210734,6.741542034,46.83080307,0
1.173076923,11.04918969,14.630744199999999,273.25096260000004,0
2.66722408,15.93295829,8.75667197,95.36727143,0
2.315217391,19.87317992,9.67260138,98.89698457,0
15.67809365,50.90591579,3.141187931,8.440045482999999,0
1.863712375,13.26595667,10.25798651,140.04070880000003,0
1.43645485,15.41478275,11.89911604,150.9872549,0
2.636287625,15.17095406,9.519292364,117.7422254,0
2.4122073580000003,20.42794216,9.198391753,88.37057957,0
2.81270903,18.13688307,7.859968426,71.29944944,0
146.5685619,82.39462399,-0.274901598,-1.121848281,1
6.071070234,29.76039993,5.318766827,28.69804799,1
59.4958194,77.75535652,0.71974817,-1.183162032,0
0.781772575,10.57083301,17.11829958,339.66082620000003,0
3.0033444819999997,19.57538355,7.954436097,71.96015886,0
3.60451505,21.13303805,7.181384025,56.85662961,0
4.193143813,26.46526062,6.927045631,49.62852693,0
1.7483277590000001,16.4866229,10.8103928,127.73336640000001,0
32.91973244,65.09419657,1.6055383490000001,0.871363737,1
11.28929766,39.11645317,3.509139254,11.50397981,0
2.022575251,19.80655592,10.47225116,113.01153740000001,0
2.72909699,17.72457969,7.608308855,67.11010332,0
2.044314381,17.27702312,9.450599022999999,97.26764676,0
1.7040133780000002,11.88494244,11.98472203,198.7850886,0
3.317725753,18.9911805,7.318813375,63.13875256,0
1.641304348,13.15851135,11.09366793,155.04466019999998,0
4.894648828999999,30.72296002,6.481707038,41.77998838,0
2.504180602,16.62645319,8.517333043999999,85.71086477,0
34.10117057,62.57739528,1.8900202819999998,2.57213265,1
4.9406354519999995,25.57445006,5.6036037489999995,32.8049201,0
5.219899666,27.88454407,6.154450774,40.29599035,0
4.004180602,25.98402807,7.110256365,51.78034336,0
6.403010032999999,31.86727478,5.096533431,25.44249982,0
0.9724080270000001,12.57359903,15.09301964,248.7651662,0
2.015886288,16.99657398,9.779744597999999,105.90086880000001,0
5.234113712,27.28130505,5.642595986,32.92813083,0
13.01505017,42.23346215,3.367500923,10.69252837,0
2.663879599,17.38143975,8.123202382,76.32992616,0
1.5301003340000001,16.10162948,11.75689076,146.9822525,0
2.468227425,20.53893017,8.875890934,81.35202744,0
1.793478261,13.49457928,11.43353195,161.90783259999998,0
3.826086957,26.25845661,7.193332526,52.72924212,0
3.349498328,20.12947035,8.304477763,79.76471417,0
1.897993311,14.79264583,10.41870697,128.7548875,0
1.12541806,13.362741699999999,14.42271997,232.3131422,0
1.60451505,12.48744974,11.53089265,174.1931918,0
2.79180602,18.84932244,8.439358578,82.8536807,0
1.717391304,13.85298098,10.97489444,143.7650991,0
5.989966555,29.64787606,5.3258136480000005,28.9446805,0
1.75083612,16.92768776,11.57514155,143.4081491,0
50.10785953,66.32182537,1.456423391,1.335181593,1
2.067725753,13.48080247,9.744522201,129.34482,0
66.54765886,85.32276063,0.750702317,-1.037197008,0
3.538461538,25.01456483,7.535673954,58.07478117,0
2.085284281,13.08121342,10.59186725,151.6794114,0
4.846153846,29.47105734,6.477662421000001,42.36337684,0
2.930602007,16.70047062,8.001108167,79.88474398,0
1.693143813,11.85257771,13.27888391,232.58714080000004,0
2.72826087,15.63212874,8.42294391,90.24191986,0
1.934782609,14.05617353,10.13281605,127.61655149999999,0
3.4974916389999997,22.59977862,7.555514385,61.20275831,0
1.7516722409999999,16.84121315,11.43726052,139.62322749999998,0
1.47993311,16.03065934,11.53907321,139.2826352,0
176.11956519999998,59.73772038,-1.7853765780000002,2.940913427,1
183.62290969999998,79.93281529,-1.326647481,0.346712101,1
3.596989967,23.6338738,7.104274744,52.69637229,0
4.129598662,25.40410706,6.79207875,47.83833472,0
2.084448161,12.55451226,10.48127536,159.0808477,0
2.702341137,21.4769853,8.634194024,77.30705126,0
2.459866221,19.13626269,9.073114935,90.11590515,0
1.72993311,11.70683448,12.08826606,206.9702029,0
2.699832776,14.73072801,8.336997625,97.53171305,0
1.671404682,15.25578628,11.91119641,163.4059665,0
18.4590301,53.85715183,2.7942081169999997,6.361790342000001,0
0.763377926,10.0823547,18.49321311,401.30062119999997,0
2.2759197319999998,15.65629332,9.990955631,122.0353982,0
1.7031772580000002,13.60889525,11.70869055,165.99932890000002,0
3.578595318,19.69452354,7.137936389,59.25100862,0
2.12541806,11.47708154,11.54130826,207.6310958,0
27.84448161,66.77087985,2.141015131,2.898545592,0
2.9724080269999997,18.30926464,7.532465375,66.00795795,0
2.939799331,19.07838227,8.49720378,81.17969182,0
2.2550167219999997,19.49498735,9.315669105,90.50487849,0
2.984113712,16.69029062,8.407608491,86.91303647,0
2.7575250839999996,18.03943289,9.191633022000001,99.69278934,0
2.1187290969999997,17.948811,9.877426366,106.90935959999999,0
2.622909699,17.51981516,8.736839978999999,88.01659742,0
3.284280936,17.98195269,8.347579405,88.10811859,0
2.9180602010000003,17.46616342,8.043076763,78.42574794,0
10.34615385,36.76162356,3.71666865,13.09939235,0
3.68729097,21.95421366,6.902402756,50.86831215,0
9.213210702000001,37.35192203,4.095595297,15.81340451,0
3.3628762539999997,21.07941093,7.721260224,65.53764746,0
1.16722408,15.16780594,13.76584457,194.6408589,0
2.142976589,13.6332318,9.589984998,125.44580800000001,0
5.488294314,28.21206181,5.630403329,32.99237094,0
41.504180600000005,62.89781076,1.472488674,1.305269046,1
1.622909699,15.94338154,10.90964301,128.8100866,0
